time; o; d; v;
32.480000; 0.659896; 0.618910; 0.001723;
32.560000; 0.625779; 0.618676; 0.006926;
32.640000; 0.658801; 0.618246; 0.005841;
32.720000; 0.646281; 0.618035; 0.007546;
32.800000; 0.646662; 0.617650; 0.006192;
32.880000; 0.674009; 0.617404; 0.007093;
32.960000; 0.639347; 0.617054; 0.005250;
33.040000; 0.650427; 0.616843; 0.007100;
33.120000; 0.674073; 0.616432; 0.003545;
33.200000; 0.638642; 0.616135; 0.005630;
33.280000; 0.662349; 0.615579; 0.004986;
33.360000; 0.654368; 0.615302; 0.003600;
33.440000; 0.629864; 0.614988; 0.003914;
33.520000; 0.653622; 0.614755; 0.003075;
33.600000; 0.642228; 0.614340; 0.008146;
33.680000; 0.632525; 0.614053; 0.005326;
33.760000; 0.647566; 0.613726; 0.006176;
33.840000; 0.622829; 0.613448; 0.004208;
33.920000; 0.632529; 0.613287; 0.004896;
34.000000; 0.639150; 0.612979; 0.002538;
34.080000; 0.631835; 0.612740; 0.004565;
34.160000; 0.636096; 0.612558; 0.004359;
34.240000; 0.574265; 0.612273; 0.003694;
34.320000; 0.585354; 0.611969; 0.006655;
34.400000; 0.634708; 0.611763; 0.004656;
34.480000; 0.614065; 0.611467; 0.004385;
34.560000; 0.566608; 0.611220; 0.006071;
34.640000; 0.602055; 0.611026; 0.004146;
34.720000; 0.542376; 0.610957; 0.001648;
34.800000; 0.431584; 0.610701; 0.004297;
34.880000; 0.395563; 0.610754; 0.002242;
34.960000; 0.432708; 0.610534; 0.003353;
35.040000; 0.416924; 0.610443; 0.003759;
35.120000; 0.484279; 0.610304; 0.000468;
35.200000; 0.471804; 0.610194; 0.002550;
35.280000; 0.456977; 0.609969; 0.006130;
35.360000; 0.473179; 0.609917; 0.002203;
35.440000; 0.498043; 0.609725; 0.001648;
35.520000; 0.484439; 0.609529; 0.003256;
35.600000; 0.506175; 0.609339; 0.005965;
35.680000; 0.499449; 0.609125; 0.004058;
35.760000; 0.535072; 0.608927; 0.003688;
35.840000; 0.564921; 0.608731; 0.002329;
35.920000; 0.592387; 0.608480; 0.004252;
36.000000; 0.621286; 0.608228; 0.004748;
36.080000; 0.629858; 0.608003; 0.002711;
36.160000; 0.622409; 0.607743; 0.002268;
36.240000; 0.592103; 0.607450; 0.002976;
36.320000; 0.588486; 0.607216; 0.004846;
36.400000; 0.594906; 0.607025; 0.004284;
36.480000; 0.602185; 0.606879; 0.002214;
36.560000; 0.599671; 0.606710; 0.002027;
36.640000; 0.570841; 0.606368; 0.005311;
36.720000; 0.565749; 0.606041; 0.004802;
36.800000; 0.591403; 0.605765; 0.004627;
36.880000; 0.572684; 0.605529; 0.004113;
36.960000; 0.581043; 0.605345; 0.003159;
37.040000; 0.592736; 0.605143; 0.003933;
37.120000; 0.576217; 0.605075; 0.001096;
37.200000; 0.560184; 0.604931; 0.002552;
37.280000; 0.544755; 0.604770; 0.002220;
37.360000; 0.558869; 0.604629; 0.002428;
37.440000; 0.567396; 0.604561; 0.002497;
37.520000; 0.519820; 0.604557; 0.000524;
37.600000; 0.516509; 0.604538; 0.002123;
37.680000; 0.501844; 0.604548; 0.000643;
37.760000; 0.486526; 0.604537; 0.001944;
37.840000; 0.488477; 0.604495; 0.001176;
37.920000; 0.509851; 0.604377; 0.003084;
38.000000; 0.566636; 0.604240; 0.000693;
38.080000; 0.534947; 0.604225; 0.000750;
38.160000; 0.509661; 0.604164; 0.001422;
38.240000; 0.473207; 0.604043; 0.001442;
38.320000; 0.480848; 0.603863; 0.001621;
38.400000; 0.499606; 0.603910; 0.001301;
38.480000; 0.504556; 0.603867; 0.000471;
38.560000; 0.446739; 0.603815; 0.002036;
38.640000; 0.334232; 0.603741; 0.001655;
38.720000; 0.268965; 0.603773; 0.000125;
38.800000; 0.309293; 0.603579; 0.000768;
38.880000; 0.325572; 0.603493; 0.000821;
38.960000; 0.248799; 0.603599; 0.001490;
39.040000; 0.275539; 0.603604; 0.001085;
39.120000; 0.340746; 0.603759; 0.002396;
39.200000; 0.356093; 0.603772; 0.000169;
39.280000; 0.335747; 0.603785; 0.001432;
39.360000; 0.360124; 0.604090; 0.001641;
39.440000; 0.417415; 0.604275; 0.001904;
39.520000; 0.482103; 0.604410; 0.002346;
39.600000; 0.512252; 0.604608; 0.002086;
39.680000; 0.545813; 0.604746; 0.001032;
39.760000; 0.586702; 0.604891; 0.004313;
39.840000; 0.628930; 0.605012; 0.004288;
39.920000; 0.660539; 0.605099; 0.001990;
40.000000; 0.670104; 0.605177; 0.003452;
40.080000; 0.649689; 0.605263; 0.004206;
40.160000; 0.608167; 0.605278; 0.001981;
40.240000; 0.549541; 0.605441; 0.002083;
40.320000; 0.604316; 0.605466; 0.001891;
40.400000; 0.612900; 0.605485; 0.001809;
40.480000; 0.589025; 0.605512; 0.000475;
40.560000; 0.514244; 0.605667; 0.002064;
40.640000; 0.499173; 0.605863; 0.004679;
40.720000; 0.496839; 0.606123; 0.004859;
40.800000; 0.518986; 0.606235; 0.003913;
40.880000; 0.552067; 0.606293; 0.003140;
40.960000; 0.538879; 0.606325; 0.001944;
41.040000; 0.508006; 0.606371; 0.001677;
41.120000; 0.447399; 0.606462; 0.001018;
41.200000; 0.459421; 0.606597; 0.003545;
41.280000; 0.506012; 0.606672; 0.002078;
41.360000; 0.509688; 0.606693; 0.000630;
41.440000; 0.477462; 0.606715; 0.002278;
41.520000; 0.431484; 0.606744; 0.000981;
41.600000; 0.342776; 0.606726; 0.000258;
41.680000; 0.161569; 0.606911; 0.002148;
41.760000; 0.292073; 0.606908; 0.000978;
41.840000; 0.431560; 0.606959; 0.000571;
41.920000; 0.500836; 0.606941; 0.000205;
42.000000; 0.510046; 0.606970; 0.000222;
42.080000; 0.508974; 0.606945; 0.001361;
42.160000; 0.433045; 0.607046; 0.003355;
42.240000; 0.397478; 0.607312; 0.004396;
42.320000; 0.421868; 0.607564; 0.002526;
42.400000; 0.453563; 0.607623; 0.000199;
42.480000; 0.472410; 0.607621; 0.000118;
42.560000; 0.398241; 0.607613; 0.000183;
42.640000; 0.327259; 0.607606; 0.000013;
42.720000; 0.230700; 0.607605; 0.000014;
42.800000; 0.062698; 0.607793; 0.002551;
42.880000; 0.132222; 0.607801; 0.000847;
42.960000; 0.159117; 0.607815; 0.001847;
43.040000; 0.167169; 0.607833; 0.000078;
43.120000; 0.229245; 0.607833; 0.000588;
43.200000; 0.257653; 0.607921; 0.002116;
43.280000; 0.297299; 0.607981; 0.000059;
43.360000; 0.372506; 0.607977; 0.000015;
43.440000; 0.345125; 0.607975; 0.000022;
43.520000; 0.315240; 0.608019; 0.001993;
43.600000; 0.233203; 0.608112; 0.002113;
43.680000; 0.176778; 0.608338; 0.004230;
43.760000; 0.240551; 0.608516; 0.000751;
43.840000; 0.290482; 0.608528; 0.000035;
43.920000; 0.290189; 0.608527; 0.000045;
44.000000; 0.263213; 0.608525; 0.000010;
44.080000; 0.205658; 0.608389; 0.002128;
44.160000; 0.222145; 0.608371; 0.000183;
44.240000; 0.170427; 0.608358; 0.001658;
44.320000; 0.085970; 0.608288; 0.000395;
44.400000; 0.063642; 0.608285; 0.001691;
44.480000; 0.107841; 0.608229; 0.000111;
44.560000; 0.119121; 0.608217; 0.000016;
44.640000; 0.106777; 0.608187; 0.001679;
44.720000; 0.133166; 0.608122; 0.002310;
44.800000; 0.112816; 0.608066; 0.000828;
